Country_encoded,EdLevel_encoded,YearsCodePro,Employment_encoded,Salary
151,0,33.0,0,135000.0
22,0,6.0,0,27488.0
151,1,6.0,0,120000.0
151,0,7.0,0,90000.0
118,1,30.0,0,33024.0
69,1,17.0,0,75669.0
36,1,11.0,2,41568.0
151,2,13.0,0,2000000.0
151,0,14.0,0,120000.0
149,0,2.0,2,109850.0
151,1,3.0,0,52500.0
149,0,3.0,0,72385.0
62,1,2.0,0,2508.0
28,2,5.0,0,60505.0
151,2,10.0,0,46513.0
144,2,4.0,0,29580.0
151,0,0.5,0,110000.0
28,0,10.0,0,69581.0
151,1,3.0,0,2000000.0
151,0,10.0,0,130000.0
149,1,8.0,0,84019.0
149,0,2.0,0,67215.0
151,1,24.0,0,180000.0
22,1,3.0,2,13740.0
151,0,8.0,0,70000.0
151,1,27.0,2,120000.0
151,0,2.0,0,89600.0
133,0,5.0,0,12000.0
129,0,2.0,0,30420.0
149,2,20.0,0,84019.0
151,0,21.0,0,140000.0
8,2,4.0,0,52968.0
28,1,20.0,0,75631.0
62,2,3.0,0,23037.0
151,0,15.0,0,150000.0
151,0,7.0,0,80000.0
22,1,0.5,0,4128.0
48,0,2.0,1,19452.0
42,2,6.0,0,3072.0
135,2,6.0,0,50316.0
117,2,7.0,0,29856.0
62,0,2.0,0,4692.0
151,0,28.0,0,280000.0
36,1,4.0,0,33780.0
151,0,13.0,0,137000.0
28,2,21.0,0,70337.0
28,2,4.0,0,66556.0
69,1,6.0,0,18156.0
151,2,20.0,0,1440000.0
22,0,3.0,0,27492.0
151,2,10.0,0,112500.0
28,0,7.0,0,65799.0
151,2,11.0,2,45000.0
28,2,19.0,0,60505.0
151,2,16.0,0,260000.0
151,1,5.0,0,95000.0
91,0,3.0,1,5172.0
151,0,3.0,0,57500.0
151,1,1.0,0,42500.0
151,1,14.0,2,135000.0
151,0,8.0,0,108000.0
151,0,1.0,0,74000.0
149,3,16.0,0,64630.0
151,1,8.0,0,78377.0
28,0,5.0,0,56723.0
149,2,7.0,0,96945.0
144,0,4.0,2,3984.0
